 ID,Name,Sequence
1,2,001c_HeadLRupFullMed,022a_ShoulderLRupFullSlow,037a_FootLRupHalfSlow
2,1,002e_HeadLRupHalfFast
3,2,006e_HeadRupFullFast
4,2,006e_HeadRupFullFast,032e_FootRupLowFast,025a_ShoulderRotRHalfFast
5,1,007e_HeadLupHalfFast,033g_FootLupFullFast,017e_HandLRupTwitch
6,1,011c_HandRupTwitch
7,1,017e_HandLRupTwitch
8,1,019e_ShoulderRupHalfFast,005e_HeadRupLowFast
9,1,020e_ShoulderLupFullFast,.25,011c_HandRupTwitch
10,1,022c_ShoulderLRupFullMed
11,1,031e_FootRupHalfFast
12,1,034a_FootLupHalfSlow,022a_ShoulderLRupFullSlow,007a_HeadLupHalfSlow
13,2,034e_FootLupHalfFast,007e_HeadLupHalfFast,019e_ShoulderRupHalfFast
15,2,014e_HandLupLowFast
16,1,020e_ShoulderLupFullFast
17,0.25,046a_Reset
